lat,lon,bearing,image_path,way_id,node_id,offset_id
-38.177293,145.110962,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.177293\145.110962\148\gsv_0.jpg,172385134,2923267118,0
-38.177369,145.111021,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.177369\145.111021\148\gsv_0.jpg,172385134,2923267118,10
-38.177446,145.111081,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.177446\145.111081\148\gsv_0.jpg,172385134,2923267118,20
-38.177735,145.111308,328,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.177735\145.111308\328\gsv_0.jpg,172385134,458415279,-20
-38.177812,145.111368,328,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.177812\145.111368\328\gsv_0.jpg,172385134,458415279,-10
-38.177889,145.111428,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.177889\145.111428\148\gsv_0.jpg,172385134,458415279,0
-38.177965,145.111488,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.177965\145.111488\148\gsv_0.jpg,172385134,458415279,10
-38.178042,145.111548,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.178042\145.111548\148\gsv_0.jpg,172385134,458415279,20
-38.165326,145.101653,137,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.165326\145.101653\137\gsv_0.jpg,61695915,768939206,0
-38.165370,145.101705,137,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.165370\145.101705\137\gsv_0.jpg,61695915,768939206,10
-38.165370,145.101705,137,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.165370\145.101705\137\gsv_0.jpg,61695915,768939206,20
-38.165370,145.101705,335,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.165370\145.101705\335\gsv_0.jpg,61695915,768939222,-20
-38.165422,145.101735,335,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.165422\145.101735\335\gsv_0.jpg,61695915,768939222,-10
-38.165503,145.101783,154,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.165503\145.101783\154\gsv_0.jpg,61695915,768939222,0
-38.165584,145.101835,153,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.165584\145.101835\153\gsv_0.jpg,61695915,768939222,10
-38.165664,145.101887,153,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.165664\145.101887\153\gsv_0.jpg,61695915,768939222,20
-38.166706,145.101747,77,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.166706\145.101747\77\gsv_0.jpg,26662301,30204323,0
-38.166686,145.101857,77,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.166686\145.101857\77\gsv_0.jpg,26662301,30204323,10
-38.166686,145.101857,77,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.166686\145.101857\77\gsv_0.jpg,26662301,30204323,20
-38.168484,145.104094,328,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.168484\145.104094\328\gsv_0.jpg,840490415,2163733811,-20
-38.168561,145.104155,328,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.168561\145.104155\328\gsv_0.jpg,840490415,2163733811,-10
-38.168637,145.104215,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.168637\145.104215\148\gsv_0.jpg,840490415,2163733811,0
-38.168714,145.104275,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.168714\145.104275\148\gsv_0.jpg,840490415,2163733811,10
-38.168790,145.104335,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.168790\145.104335\148\gsv_0.jpg,840490415,2163733811,20
-38.169505,145.104898,328,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.169505\145.104898\328\gsv_0.jpg,840490415,7848234876,-20
-38.169581,145.104958,328,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.169581\145.104958\328\gsv_0.jpg,840490415,7848234876,-10
-38.169658,145.105018,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.169658\145.105018\148\gsv_0.jpg,840490415,7848234876,0
-38.169692,145.105045,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.169692\145.105045\148\gsv_0.jpg,840490415,7848234876,10
-38.169692,145.105045,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.169692\145.105045\148\gsv_0.jpg,840490415,7848234876,20
-38.169658,145.105018,328,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.169658\145.105018\328\gsv_0.jpg,840490415,607649480,-20
-38.169658,145.105018,328,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.169658\145.105018\328\gsv_0.jpg,840490415,607649480,-10
-38.169692,145.105045,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.169692\145.105045\148\gsv_0.jpg,840490415,607649480,0
-38.169769,145.105105,149,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.169769\145.105105\149\gsv_0.jpg,840490415,607649480,10
-38.169846,145.105165,149,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.169846\145.105165\149\gsv_0.jpg,840490415,607649480,20
-38.169930,145.105230,329,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.169930\145.105230\329\gsv_0.jpg,841124847,638346157,-20
-38.170007,145.105289,329,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.170007\145.105289\329\gsv_0.jpg,841124847,638346157,-10
-38.170083,145.105349,149,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.170083\145.105349\149\gsv_0.jpg,841124847,638346157,0
-38.170160,145.105408,149,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.170160\145.105408\149\gsv_0.jpg,841124847,638346157,10
-38.170237,145.105468,149,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.170237\145.105468\149\gsv_0.jpg,841124847,638346157,20
-38.171093,145.106131,329,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.171093\145.106131\329\gsv_0.jpg,841124847,1323522755,-20
-38.171170,145.106190,329,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.171170\145.106190\329\gsv_0.jpg,841124847,1323522755,-10
-38.171247,145.106250,149,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.171247\145.106250\149\gsv_0.jpg,841124847,1323522755,0
-38.171323,145.106309,149,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.171323\145.106309\149\gsv_0.jpg,841124847,1323522755,10
-38.171400,145.106369,149,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.171400\145.106369\149\gsv_0.jpg,841124847,1323522755,20
-38.171876,145.106738,329,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.171876\145.106738\329\gsv_0.jpg,841124847,1323522496,-20
-38.171953,145.106797,329,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.171953\145.106797\329\gsv_0.jpg,841124847,1323522496,-10
-38.172030,145.106857,149,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.172030\145.106857\149\gsv_0.jpg,841124847,1323522496,0
